Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=1024
epoch_num=1000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=100-epochs=1000-lr_bert0.0005.log'
lr=0.005
lr_bert=0.0005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-large-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=100-epochs=1000-lr_bert0.0005.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=100-epochs=1000-lr_bert0.0005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
--------------------------------------------------------------------------------------
              0 |         120.47 |          45.95 |          45.16 |          47.40 
              1 |         110.38 |          35.91 |          34.94 |          36.18 
              2 |         112.88 |          49.17 |          47.99 |          50.32 
              3 |         110.95 |          50.14 |          48.68 |          51.29 
              4 |         103.12 |          48.47 |          47.62 |          49.35 
              5 |         108.94 |          49.09 |          48.13 |          49.25 
              6 |         104.64 |          49.83 |          48.39 |          49.48 
              7 |          98.51 |          47.34 |          44.06 |          46.48 
              8 |         102.75 |          51.58 |          49.73 |          51.60 
              9 |         102.37 |          49.20 |          47.34 |          50.26 
             10 |          98.00 |          54.05 |          52.63 |          55.50 
             11 |          96.27 |          43.37 |          42.94 |          45.92 
             12 |          95.22 |          54.80 |          52.68 |          55.52 
             13 |          98.77 |          53.27 |          51.66 |          53.62 
             14 |          95.26 |          52.85 |          51.77 |          53.60 
             15 |          91.49 |          55.78 |          53.32 |          57.05 
             16 |          92.86 |          57.14 |          54.54 |          57.68 
             17 |         100.33 |          55.10 |          53.25 |          55.82 
             18 |          96.26 |          54.44 |          50.65 |          53.92 
             19 |         100.24 |          58.23 |          55.21 |          58.83 
             20 |          98.14 |          55.93 |          53.83 |          57.29 
             21 |          92.08 |          58.09 |          56.40 |          58.83 
             22 |          95.20 |          58.58 |          55.39 |          58.07 
             23 |          98.01 |          57.83 |          54.87 |          58.23 
             24 |          96.73 |          59.63 |          57.97 |          61.71 
             25 |          94.79 |          60.47 |          57.99 |          61.19 
             26 |          93.50 |          59.60 |          56.93 |          60.16 
             27 |          93.97 |          59.68 |          57.34 |          59.99 
             28 |          93.74 |          60.88 |          57.90 |          61.91 
             29 |          91.02 |          60.87 |          58.30 |          62.20 
             30 |          95.93 |          61.68 |          59.05 |          63.45 
             31 |          95.91 |          63.45 |          60.64 |          63.81 
             32 |          91.08 |          61.69 |          58.36 |          62.28 
             33 |         100.69 |          62.06 |          60.04 |          63.44 
             34 |          92.25 |          64.06 |          61.38 |          65.77 
             35 |          90.40 |          61.08 |          59.03 |          62.27 
             36 |          93.85 |          61.07 |          58.50 |          62.49 
             37 |          93.27 |          63.70 |          59.99 |          62.83 
